,GOOG,AAPL
2020-03-31,58.07441329956055,61.84666442871094
2020-04-01,55.218162536621094,58.59248352050781
2020-04-02,55.97829818725586,59.570194244384766
2020-04-03,54.83160400390625,58.714088439941406
2020-04-04,,
2020-04-05,,
2020-04-06,59.27854537963867,63.83616256713867
2020-04-07,59.2580680847168,63.09678268432617
2020-04-08,60.44521713256836,64.71172332763672
2020-04-09,60.50364685058594,65.17869567871094
2020-04-10,,
2020-04-11,,
2020-04-12,,
2020-04-13,60.808799743652344,66.45800018310547
2020-04-14,63.38936233520508,69.81432342529297
2020-04-15,63.05175018310547,69.17711639404297
2020-04-16,63.10169219970703,69.7267837524414
2020-04-17,64.08956909179688,68.78067779541016
2020-04-18,,
2020-04-19,,
2020-04-20,63.258514404296875,67.3530044555664
2020-04-21,60.74787139892578,65.27111053466797
2020-04-22,63.08870697021485,67.1511459350586
2020-04-23,63.74296188354492,66.89090728759766
2020-04-24,63.892791748046875,68.82203674316406
2020-04-25,,
2020-04-26,,
2020-04-27,63.72148513793945,68.87067413330078
2020-04-28,61.61338424682617,67.75430297851562
2020-04-29,66.99775695800781,69.97972106933594
2020-04-30,67.35635375976562,71.45601654052734
2020-05-01,65.9554443359375,70.30562591552734
2020-05-02,,
2020-05-03,,
2020-05-04,66.26458740234375,71.30036163330078
2020-05-05,67.47870635986328,72.37049865722656
2020-05-06,67.2884292602539,73.11717224121094
2020-05-07,68.54999542236328,73.87355041503906
2020-05-08,69.339599609375,75.63187408447266
2020-05-09,,
2020-05-10,,
2020-05-11,70.083251953125,76.82198333740234
2020-05-12,68.70881652832031,75.94403076171875
2020-05-13,67.38981628417969,75.02706909179688
2020-05-14,67.72943115234375,75.48799896240234
2020-05-15,68.58145904541016,75.04170227050781
2020-05-16,,
2020-05-17,,
2020-05-18,69.11834716796875,76.80974578857422
2020-05-19,68.59619140625,76.3659439086914
2020-05-20,70.25605010986328,77.8510971069336
2020-05-21,70.06027221679688,77.27068328857422
2020-05-22,70.44084167480469,77.7681884765625
2020-05-23,,
2020-05-24,,
2020-05-25,,
2020-05-26,70.77046203613281,77.24142456054688
2020-05-27,70.81141662597656,77.57795715332031
2020-05-28,70.7559814453125,77.61210632324219
2020-05-29,71.36479187011719,77.5364990234375
2020-05-30,,
2020-05-31,,
2020-06-01,71.50962829589844,78.49006652832031
2020-06-02,71.87920379638672,78.85340881347656
2020-06-03,71.73736572265625,79.28751373291016
2020-06-04,70.52873992919922,78.60467529296875
2020-06-05,71.83775329589844,80.8434066772461
2020-06-06,,
2020-06-07,,
2020-06-08,72.24828338623047,81.32137298583984
2020-06-09,72.7252426147461,83.88935852050781
2020-06-10,73.20919799804688,86.0476303100586
2020-06-11,70.11221313476562,81.91644287109375
2020-06-12,70.57868194580078,82.6236572265625
2020-06-13,,
2020-06-14,,
2020-06-15,70.91180419921875,83.6454849243164
2020-06-16,72.05400848388672,85.8622817993164
2020-06-17,72.47352600097656,85.74280548095703
2020-06-18,71.71638488769531,85.77693176269531
2020-06-19,71.50463104248047,85.2867431640625
2020-06-20,,
2020-06-21,,
2020-06-22,72.51049041748047,87.5181655883789
2020-06-23,73.13726806640625,89.38623809814453
2020-06-24,71.51712036132812,87.80838012695312
2020-06-25,71.98458099365234,88.97408294677734
2020-06-26,67.91771697998047,86.24028015136719
2020-06-27,,
2020-06-28,,
2020-06-29,69.66921997070312,88.22782897949219
2020-06-30,70.60015869140625,88.9643325805664
2020-07-01,71.82027435302734,88.79602813720703
2020-07-02,73.1517562866211,88.79602813720703
2020-07-03,,
2020-07-04,,
2020-07-05,,
2020-07-06,74.69999694824219,91.17134857177734
2020-07-07,74.17459869384766,90.88846588134766
2020-07-08,74.71498107910156,93.00527954101562
2020-07-09,75.463623046875,93.40523529052734
2020-07-10,76.99937438964844,93.568603515625
2020-07-11,,
2020-07-12,,
2020-07-13,75.48110961914062,93.13697052001952
2020-07-14,75.94258117675781,94.67823791503906
2020-07-15,75.59597778320312,95.32937622070312
2020-07-16,75.81372833251953,94.15632629394533
2020-07-17,75.69136047363281,93.96611785888672
2020-07-18,,
2020-07-19,,
2020-07-20,78.197021484375,95.94635009765624
2020-07-21,77.83242797851562,94.62216186523438
2020-07-22,78.33535766601562,94.8879623413086
2020-07-23,75.6978530883789,90.56900787353516
2020-07-24,75.50757598876953,90.34464263916016
2020-07-25,,
2020-07-26,,
2020-07-27,76.42303466796875,92.48582458496094
2020-07-28,74.93173217773438,90.96649932861328
2020-07-29,76.01449584960938,92.71018981933594
