,XOM,GOOG,AAPL,IBM,W
2020-08-01,,,,,
2020-08-02,,,,,
2020-08-03,34.56077194213867,73.63870239257812,106.26700592041016,97.20038604736328,287.2799987792969
2020-08-04,35.558738708496094,73.16523742675781,106.97666931152344,98.396728515625,290.8500061035156
2020-08-05,35.86957931518555,73.59674835205078,107.36444091796876,98.09178161621094,301.3999938964844
2020-08-06,35.69779968261719,74.91973876953125,111.11028289794922,98.61565399169922,312.70001220703125
2020-08-07,35.534202575683594,74.63956451416016,108.58413696289062,98.9879913330078,309.67999267578125
2020-08-08,,,,,
2020-08-09,,,,,
2020-08-10,36.40946578979492,74.719970703125,110.16236114501952,100.69110870361328,298.0
2020-08-11,36.78574752807617,73.93186950683594,106.88616943359376,100.40594482421876,309.1300048828125
2020-08-12,36.77740859985352,75.24537658691406,110.4384307861328,100.36634826660156,301.739990234375
2020-08-13,35.87653350830078,75.8362045288086,112.39293670654295,99.0434341430664,314.2900085449219
2020-08-14,36.03501892089844,75.30081176757812,112.29276275634766,99.23353576660156,309.989990234375
